Time,Volt
"-0,8125",-16.527925E-03
"-0,81",-16.044293E-03
"-0,8075",-16.468215E-03
"-0,805",-16.411755E-03
"-0,8025",-16.169949E-03
"-0,8",-16.402343E-03
"-0,7975",-15.545024E-03
"-0,795",-16.163602E-03
"-0,7925",-16.653627E-03
"-0,79",-16.220334E-03
"-0,7875",-15.774240E-03
"-0,785",-16.688090E-03
"-0,7825",-16.075720E-03
"-0,78",-16.088205E-03
"-0,7775",-16.666153E-03
"-0,775",-16.198256E-03
"-0,7725",-15.874656E-03
"-0,77",-16.876550E-03
"-0,7675",-16.235807E-03
"-0,765",-16.540475E-03
"-0,7625",-16.512209E-03
"-0,76",-16.264143E-03
"-0,7575",-16.270303E-03
"-0,755",-16.213882E-03
"-0,7525",-16.405301E-03
"-0,75",-16.606377E-03
"-0,7475",-16.238987E-03
"-0,745",-16.348973E-03
"-0,7425",-16.584339E-03
"-0,74",-16.502701E-03
"-0,7375",-16.433773E-03
"-0,735",-16.383522E-03
"-0,7325",-16.578235E-03
"-0,73",-16.527952E-03
"-0,7275",-16.493415E-03
"-0,725",-17.061893E-03
"-0,7225",-16.524855E-03
"-0,72",-17.005350E-03
"-0,7175",-15.601281E-03
"-0,715",-16.286031E-03
"-0,7125",-16.402368E-03
"-0,71",-16.612828E-03
"-0,7075",-17.033583E-03
"-0,705",-16.889189E-03
"-0,7025",-16.151012E-03
"-0,7",-16.810638E-03
"-0,6975",-16.769752E-03
"-0,695",-16.537306E-03
"-0,6925",-16.926753E-03
"-0,69",-16.939259E-03
"-0,6875",-16.685022E-03
"-0,685",-17.275474E-03
"-0,6825",-16.873487E-03
"-0,68",-16.650474E-03
"-0,6775",-16.386562E-03
"-0,675",-16.653615E-03
"-0,6725",-16.452587E-03
"-0,67",-17.426347E-03
"-0,6675",-16.958335E-03
"-0,665",-16.631560E-03
"-0,6625",-16.606470E-03
"-0,66",-16.327019E-03
"-0,6575",-16.593883E-03
"-0,655",-16.565568E-03
"-0,6525",-16.826380E-03
"-0,65",-16.732049E-03
"-0,6475",-16.889011E-03
"-0,645",-16.838968E-03
"-0,6425",-15.984721E-03
"-0,64",-16.933053E-03
"-0,6375",-17.077699E-03
"-0,635",-16.713241E-03
"-0,6325",-16.885955E-03
"-0,63",-16.421193E-03
"-0,6275",-16.923605E-03
"-0,625",-16.527977E-03
"-0,6225",-16.977174E-03
"-0,62",-16.829625E-03
"-0,6175",-17.237777E-03
"-0,615",-16.540592E-03
"-0,6125",-16.684987E-03
"-0,61",-17.068114E-03
"-0,6075",-16.389735E-03
"-0,605",-16.999058E-03
"-0,6025",-16.782401E-03
"-0,6",-16.370983E-03
"-0,5975",-16.399368E-03
"-0,595",-15.987936E-03
"-0,5925",-16.383453E-03
"-0,59",-16.204300E-03
"-0,5875",-16.841955E-03
"-0,585",-16.471245E-03
"-0,5825",-16.798026E-03
"-0,58",-16.458870E-03
"-0,5775",-16.612724E-03
"-0,575",-16.669297E-03
"-0,5725",-16.757264E-03
"-0,57",-16.097662E-03
"-0,5675",-16.763505E-03
"-0,565",-16.619046E-03
"-0,5625",-16.763394E-03
"-0,56",-17.196964E-03
"-0,5575",-17.052464E-03
"-0,555",-16.958214E-03
"-0,5525",-16.399197E-03
"-0,55",-16.182517E-03
"-0,5475",-16.810474E-03
"-0,545",-16.260921E-03
"-0,5425",-16.688228E-03
"-0,54",-16.694438E-03
"-0,5375",-16.794926E-03
"-0,535",-16.565669E-03
"-0,5325",-16.587582E-03
"-0,53",-16.948922E-03
"-0,5275",-16.729044E-03
"-0,525",-15.915398E-03
"-0,5225",-16.103811E-03
"-0,52",-16.615951E-03
"-0,5175",-17.099472E-03
"-0,515",-16.684987E-03
"-0,5125",-16.543715E-03
"-0,51",-16.025291E-03
"-0,5075",-16.929873E-03
"-0,505",-16.085083E-03
"-0,5025",-16.107158E-03
"-0,5",-15.899917E-03
"-0,4975",-16.408560E-03
"-0,495",-16.213882E-03
"-0,4925",-16.361403E-03
"-0,49",-16.176300E-03
"-0,4875",-16.355198E-03
"-0,485",-15.698975E-03
"-0,4825",-16.116551E-03
"-0,48",-16.619079E-03
"-0,4775",-16.389823E-03
"-0,475",-16.339494E-03
"-0,4725",-16.512171E-03
"-0,47",-15.821294E-03
"-0,4675",-16.088175E-03
"-0,465",-16.590845E-03
"-0,4625",-16.166834E-03
"-0,46",-16.063239E-03
"-0,4575",-15.651743E-03
"-0,455",-16.273523E-03
"-0,4525",-15.840042E-03
"-0,45",-15.884204E-03
"-0,4475",-16.556202E-03
"-0,445",-15.937516E-03
"-0,4425",-16.697356E-03
"-0,44",-16.424276E-03
"-0,4375",-15.742760E-03
"-0,435",-16.333277E-03
"-0,4325",-15.792995E-03
"-0,43",-16.006480E-03
"-0,4275",-16.471386E-03
"-0,425",-16.590750E-03
"-0,4225",-16.063161E-03
"-0,42",-15.968923E-03
"-0,4175",-15.927878E-03
"-0,415",-16.176060E-03
"-0,4125",-16.166704E-03
"-0,41",-16.198094E-03
"-0,4075",-16.352022E-03
"-0,405",-16.411848E-03
"-0,4025",-15.651848E-03
"-0,4",-15.695819E-03
"-0,3975",-16.088424E-03
"-0,395",-15.752267E-03
"-0,3925",-15.937568E-03
"-0,39",-16.279905E-03
"-0,3875",-16.088133E-03
"-0,385",-15.930959E-03
"-0,3825",-16.493352E-03
"-0,38",-16.154330E-03
"-0,3775",-16.257695E-03
"-0,375",-16.213917E-03
"-0,3725",-16.229673E-03
"-0,37",-15.579354E-03
"-0,3675",-16.176211E-03
"-0,365",-15.915427E-03
